,hasLocation,hasKeyword,tweetNumberOfChars,numberOfWords,numEx,numAt,numHash,numQ,numPeriod,numComma,numLinks,numPunc,avgCharsPerWord,numNumericTweet,numLettersTweet,numUpperTweet,numVowelsTweet,numConsonantsTweet,numNouns,numVerbs,numPrep,numAdj,numAdv,charsPerSentenceTweet,numSentencesTweet,numProperNoun,numTo,ttr,entropy,hashPerSentence,wordsPerSentence,atPerSentence,commasPerSentence,linksPerSentence,sentimentText,sentimentVader,target
0,0,0,69,13,0,0,0,1,0,0,0,1,4.384615384615385,0,56,10,25,31,6,1,1,0,0,69.0,1,4,0,1.0,2.2151132413954806,0.0,13.0,0.0,0.0,0.0,0.0,0.2732,1
1,0,0,38,7,1,0,0,0,0,0,0,1,4.571428571428571,0,31,5,13,18,6,0,1,0,0,18.5,2,5,0,1.0,2.4061139784849184,0.0,3.5,0.0,0.0,0.0,0.1,-0.34,1
2,0,0,133,22,1,0,0,0,0,0,0,1,5.090909090909091,0,109,2,45,64,8,7,3,1,0,66.0,2,1,1,0.8181818181818182,2.8370939071107166,0.0,11.0,0.0,0.0,0.0,-0.018750000000000003,-0.296,1
3,0,0,65,8,0,0,0,1,1,0,0,2,7.125,5,50,1,24,26,5,0,1,1,0,65.0,1,1,0,0.875,2.393268732250653,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1
4,0,0,88,16,0,0,0,2,0,0,0,2,4.5,0,70,3,25,45,6,3,4,0,0,88.0,1,2,0,0.9375,3.0818886077688723,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1
5,0,0,110,18,1,0,0,3,0,0,0,4,5.166666666666667,2,84,9,34,50,11,1,1,1,0,54.5,2,6,1,0.8333333333333334,3.1227337928787837,0.0,9.0,0.0,0.0,0.0,-0.1125,-0.34,1
6,0,0,95,14,0,0,0,2,1,0,0,3,5.857142857142857,0,79,4,32,47,10,1,2,1,0,95.0,1,5,0,1.0,3.423764891271447,0.0,14.0,0.0,0.0,0.0,-0.2,-0.6249,1
7,0,0,59,15,3,0,0,0,0,0,0,3,3.0,0,41,2,18,23,5,1,3,0,0,14.0,4,1,0,0.9333333333333333,1.667765367925099,0.0,3.75,0.0,0.0,0.0,0.5,-0.1531,1
8,0,0,79,12,0,0,0,0,0,0,0,0,5.666666666666667,0,67,1,26,41,5,1,2,0,0,79.0,1,1,0,0.9166666666666666,2.431930909769388,0.0,12.0,0.0,0.0,0.0,0.0,-0.3818,1
9,0,0,52,10,3,0,0,0,0,0,0,3,4.3,0,39,1,18,21,3,3,1,0,0,12.25,4,1,1,1.0,2.194492281342691,0.0,2.5,0.0,0.0,0.0,-0.6,0.0,1
10,0,0,43,9,0,0,0,0,0,0,0,0,3.888888888888889,0,35,1,15,20,2,2,1,0,0,43.0,1,0,0,1.0,2.2208178279849013,0.0,9.0,0.0,0.0,0.0,0.1,-0.5574,1
11,0,0,129,27,0,0,0,1,0,0,0,1,3.814814814814815,0,101,63,41,60,17,6,0,1,0,129.0,1,17,0,0.7037037037037037,3.234092637201429,0.0,27.0,0.0,0.0,0.0,0.11212121212121212,0.4588,1
12,0,0,76,12,1,0,0,5,0,0,0,6,5.333333333333333,4,53,5,21,32,5,3,0,1,0,37.5,2,3,0,0.8333333333333334,2.9666903485620573,0.0,6.0,0.0,0.0,0.0,0.0,-0.3182,1
13,0,0,39,7,0,0,0,2,0,0,0,2,4.714285714285714,0,31,5,13,18,5,1,1,0,0,39.0,1,4,0,0.8571428571428571,1.7785027469414505,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1
14,0,0,56,11,0,0,0,1,0,0,0,1,4.090909090909091,2,42,9,16,26,7,0,2,0,0,56.0,1,0,1,0.9090909090909091,2.6058317725385383,0.0,11.0,0.0,0.0,0.0,0.0,-0.7096,1
15,0,0,14,3,0,0,1,0,0,0,0,1,4.0,0,10,1,3,7,2,0,0,0,0,14.0,1,1,0,1.0,1.405691911856945,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0
16,0,0,13,3,0,0,0,0,0,0,0,0,3.6666666666666665,0,11,1,5,6,1,1,0,0,0,13.0,1,0,0,1.0,1.3748261500440266,0.0,3.0,0.0,0.0,0.0,0.5,0.6369,0
